
# -------------------------------Section 1-------------------------------
# ------------Specifying the Input Values for Some Parameters------------


param nr := 3;



param np := 18;



param tup := 365;



param: 				RM	Nop	Ngi 	Nwi :=
#Reservoir (i)	Time (z)
1		1		3	4	1	0
1		2		4	7	1	1
1		3		4	10	1	2
1		4		4	13	1	3
1		5		4	15	1	3
1		6		4	15	1	3
1		7		4	15	1	3
1		8		4	15	1	3
1		9		4	15	1	3
1		10		4	15	1	3
1		11		4	15	1	3
1		12		4	15	1	3
1		13		4	15	1	3
1		14		4	15	1	3
1		15		4	15	1	3
1		16		4	15	1	3
1		17		4	15	1	3
1		18		4	15	1	3
2		1		1	0	0	0
2		2		1	0	0	0
2		3		1	0	0	0
2		4		1	0	0	0
2		5		1	2	0	0
2		6		2	5	0	1
2		7		2	7	0	2
2		8		2	7	0	2
2		9		2	7	0	2
2		10		2	7	0	2
2		11		2	7	0	2
2		12		2	7	0	2
2		13		2	7	0	2
2		14		2	7	0	2
2		15		2	7	0	2
2		16		2	7	0	2
2		17		2	7	0	2
2		18		2	7	0	2
3		1		1	0	0	0
3		2		1	0	0	0
3		3		1	0	0	0
3		4		1	0	0	0
3		5		1	0	0	0
3		6		1	0	0	0
3		7		1	1	0	0
3		8		2	3	0	1
3		9		2	3	0	1
3		10		2	3	0	1
3		11		2	3	0	1
3		12		2	3	0	1
3		13		2	3	0	1
3		14		2	3	0	1
3		15		2	3	0	1
3		16		2	3	0	1
3		17		2	3	0	1
3		18		2	3	0	1
;



param qgi_pgi_hat := 4000;

param qwi_pwi_hat := 6360;
